timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-14 02:30:39,b'After this quarantine is over I feel like there are gonna be alot of Carole Baskins out there. #coronavirus #COVID19 #TigerKingNetflix #TigerKingFOX https://t.co/7rxIklQuj6',b'electricsoul123',"['coronavirus', 'COVID19', 'TigerKingNetflix', 'TigerKingFOX']",726,b''
2020-04-14 02:30:31,"b'Well, this is a self-explanatory one. Is this when you throw the bucket list out of a plane without a parachute? #coronavirus #COVID19 https://t.co/wyInJmPDRz'",b'ArdianNYC',"['coronavirus', 'COVID19']",214,b'NYC'
2020-04-14 02:30:30,"b""@POTUS @realDonaldTrump @ChrisCuomo @CuomoPrimeTime @Acosta @cnnbrk #BREAKING #BreakingNews #Coronavirustruth #Covid_19 #COVID19 #coronavirus   #China 's #WetMarkets back in business, despite US calls to keep them shut https://t.co/ooFdZ2SPln via @nypost""",b'GreenMtnBoy359',"['BREAKING', 'BreakingNews', 'Coronavirustruth', 'Covid_19', 'COVID19', 'coronavirus', 'China', 'WetMarkets']",210,b'14th State '
2020-04-14 02:30:27,b'#UAE #coronavirus cases toll exceeds 4500; death toll at 25 and 852 recoveries #COVID19 #COVID19Pandemic #CoronavirusOutbreak #CoronaVirusUpdates  https://t.co/NQO4KoBCdy https://t.co/gkqTM5e5ow',b'qatarday',"['UAE', 'coronavirus', 'COVID19', 'COVID19Pandemic', 'CoronavirusOutbreak', 'CoronaVirusUpdates']",26732,"b'Doha, Qatar'"
2020-04-14 02:30:24,"b'COVID-19 Updates (globally)  Total cases: 1,924,679  Dead: 119,692  Recovered: 445,005  Last updated: April 14, 2020, 02:10 GMT  #covid19 #COVID\xe3\x83\xbc19 #coronavirus  https://t.co/W5akG3Thvk'",b'thedextazlab',"['covid19', 'COVIDー19', 'coronavirus']",1766,b'Tanzania'
2020-04-14 02:30:18,"b'NEWS: An intensive care unit nurse at the Royal Adelaide Hospital has tested positive for #coronavirus  @SAHealth says the nurse - aged in her 20s - had been working with #COVID19 patients, &amp; developed mild symptoms late on Friday  She &amp; 22 staff from the RAH are self isolating'",b'ABC_NewsRadio',"['coronavirus', 'COVID19']",33422,b'Australia'
2020-04-14 02:30:15,b'#PassionBeginsAtHome Bake - Cook delicious delicacies and follow your passion of becoming a chef  #StayHomeStaySafe #CoronaVirus #IndiaFightsCorona #COVID19 #UniqueGroup #UniqueLegacy #KeshavNagar #UniqueKVille #Kiwale #PuneRealEstate #Pune https://t.co/nZay29zWLg',b'uniquegrouppune',"['PassionBeginsAtHome', 'StayHomeStaySafe', 'CoronaVirus', 'IndiaFightsCorona', 'COVID19', 'UniqueGroup', 'UniqueLegacy', 'KeshavNagar', 'UniqueKVille', 'Kiwale', 'PuneRealEstate', 'Pune']",2,b''
2020-04-14 02:30:14,b'May the spirit of #SelfConfidence and Fight against oppression be with us in this Ambedkar Jayanti.  Best Wishing you all and your family from Team Cafune.  #AmbedkarJayanti #JaiBhim #\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\x9c\xe0\xa4\xaf\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x80 #\xe0\xa4\x9c\xe0\xa4\xaf\xe0\xa4\xad\xe0\xa5\x80\xe0\xa4\xae  #StayAtHome #StayHomeSaveLives #COVID19 #Coronavirus #CafueSolutions https://t.co/0ekJ8vpsXt',b'CafuneSolutions',"['SelfConfidence', 'AmbedkarJayanti', 'JaiBhim', 'अंबेडकरजयंती', 'जयभीम', 'StayAtHome', 'StayHomeSaveLives', 'COVID19', 'Coronavirus', 'CafueSolutions']",4,b'Ghaziabad'
2020-04-14 02:30:13,b'#USDOT and #FRA announce $1 billion for #Amtrak in response to #COVID19 #coronavirus https://t.co/aOZS6lzEYu https://t.co/c4Tzn5ZpZT',b'TrainTraveling',"['USDOT', 'FRA', 'Amtrak', 'COVID19', 'coronavirus']",4478,b'USA and Canada'
2020-04-14 02:30:11,b'CHANGES COMING AGAIN? @MayorStimpson says the Mobile County Health Department is looking at reducing capacity at big box &amp; grocery stores to 10% the norm. Shoppers say they can see how reducing capacity even more might help. #COVID19 #Coronavirus  Details: https://t.co/j6riOotlML https://t.co/LszmPck2Tk',b'TylerFingert',"['COVID19', 'Coronavirus']",838,"b'Mobile, AL'"
